timestamp,mode,selected_model,decision_reason,latency_s,prompt_length,output_tokens,throughput_tokens_per_s,cpu_util_before,cpu_util_after,cpu_util_delta,gpu_util_before,gpu_util_after,gpu_util_delta,cpu_mem_before_gb,cpu_mem_after_gb,gpu_mem_before_gb,gpu_mem_after_gb,gpu_mem_util_before_pct,gpu_mem_util_after_pct
2025-11-30T16:34:46.346801,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 6",54.24,9,396,7.3,0.0,27.7,27.7,1.0,86.0,85.0,13.65,13.97,4.46,3.02,74.42,50.43
2025-11-30T16:34:46.343200,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 3",63.01,8,486,7.71,70.0,38.8,-31.2,1.0,85.0,84.0,13.65,13.96,4.46,3.02,74.42,50.43
2025-11-30T16:34:46.349395,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 7",71.54,11,446,6.23,0.0,33.7,33.7,1.0,84.0,83.0,13.65,13.92,4.46,3.02,74.42,50.43
2025-11-30T16:34:46.353045,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 9",78.121,12,371,4.75,0.0,29.2,29.2,1.0,84.0,83.0,13.65,13.93,4.46,3.02,74.42,50.43
2025-11-30T16:34:46.350923,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 8",86.389,11,442,5.12,0.0,30.4,30.4,1.0,83.0,82.0,13.65,13.94,4.46,3.01,74.42,50.18
2025-11-30T16:36:15.768091,gpu,gemma2:2b,"Medium prompt, GPU available (util=1.0%) | Queue depth: 6",12.065,39,582,48.24,0.0,30.3,30.3,1.0,86.0,85.0,13.95,14.07,3.01,3.01,50.18,50.18
2025-11-30T16:36:15.765407,gpu,gemma2:2b,"Medium prompt, GPU available (util=1.0%) | Queue depth: 3",22.87,32,609,26.63,0.0,26.0,26.0,1.0,86.0,85.0,13.95,14.03,3.01,3.0,50.18,50.09
2025-11-30T16:36:15.768769,gpu,gemma2:2b,"Medium prompt, GPU available (util=1.0%) | Queue depth: 7",31.827,39,524,16.46,0.0,25.5,25.5,1.0,87.0,86.0,13.95,14.02,3.01,3.0,50.18,50.05
2025-11-30T16:36:15.764767,gpu,gemma2:2b,"Medium prompt, GPU available (util=1.0%) | Queue depth: 2",42.098,32,583,13.85,80.0,22.5,-57.5,1.0,88.0,87.0,13.95,14.02,3.01,3.0,50.18,50.05
2025-11-30T16:36:15.769331,gpu,gemma2:2b,"Medium prompt, GPU available (util=1.0%) | Queue depth: 8",54.389,31,697,12.82,0.0,22.8,22.8,1.0,87.0,86.0,13.95,14.02,3.01,3.0,50.18,50.04
2025-11-30T16:36:15.767059,gpu,gemma2:2b,"Medium prompt, GPU available (util=1.0%) | Queue depth: 5",63.782,31,553,8.67,0.0,22.5,22.5,1.0,87.0,86.0,13.95,14.02,3.01,3.0,50.18,50.04
2025-11-30T16:36:15.762995,gpu,gemma2:2b,"Medium prompt, GPU available (util=1.0%) | Queue depth: 1",74.326,39,619,8.33,23.6,22.0,-1.6,1.0,87.0,86.0,13.95,14.02,3.01,3.0,50.18,50.04
2025-11-30T16:36:15.772127,gpu,gemma2:2b,"Medium prompt, GPU available (util=1.0%) | Queue depth: 10",86.2,31,651,7.55,0.0,21.9,21.9,1.0,88.0,87.0,13.95,14.01,3.01,3.0,50.18,50.04
2025-11-30T16:36:15.766509,gpu,gemma2:2b,"Medium prompt, GPU available (util=1.0%) | Queue depth: 4",95.029,39,489,5.15,0.0,24.6,24.6,1.0,85.0,84.0,13.95,14.02,3.01,3.0,50.18,50.04
2025-11-30T16:36:15.770285,gpu,gemma2:2b,"Medium prompt, GPU available (util=1.0%) | Queue depth: 9",104.963,31,550,5.24,0.0,25.3,25.3,1.0,86.0,85.0,13.95,14.01,3.01,3.0,50.18,50.04
2025-11-30T16:38:03.754631,cpu,phi3,"Tiny prompt (len=3), CPU optimal | Queue depth: 2",5.62,3,73,12.99,0.0,41.9,41.9,1.0,91.0,90.0,14.01,13.53,3.0,4.42,50.04,73.68
2025-11-30T16:38:03.753948,cpu,phi3,"Tiny prompt (len=3), CPU optimal | Queue depth: 1",7.691,3,101,13.13,20.8,27.5,6.7,1.0,95.0,94.0,14.01,13.53,3.0,4.42,50.04,73.68
2025-11-30T16:38:03.772826,cpu,phi3,"Tiny prompt (len=2), CPU optimal | Queue depth: 14",9.994,2,136,13.61,0.0,28.8,28.8,1.0,95.0,94.0,14.01,13.56,3.0,4.42,50.04,73.68
2025-11-30T16:38:03.755184,cpu,phi3,"Tiny prompt (len=2), CPU optimal | Queue depth: 3",10.861,2,50,4.6,0.0,31.0,31.0,1.0,93.0,92.0,14.01,13.56,3.0,4.42,50.04,73.68
2025-11-30T16:38:03.766787,cpu,phi3,"Tiny prompt (len=3), CPU optimal | Queue depth: 12",12.416,3,81,6.52,23.5,36.4,12.9,1.0,95.0,94.0,14.01,13.54,3.0,4.42,50.04,73.68
2025-11-30T16:38:03.758806,gpu,gemma2:2b,"Medium prompt, GPU available (util=1.0%) | Queue depth: 6",22.872,39,436,19.06,0.0,27.1,27.1,1.0,86.0,85.0,14.01,13.71,3.0,2.98,50.04,49.71
2025-11-30T16:38:03.756934,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 4",29.217,9,361,12.36,0.0,24.5,24.5,1.0,87.0,86.0,14.02,13.74,3.0,2.98,50.04,49.75
2025-11-30T16:38:03.776957,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 15",36.751,8,416,11.32,0.0,26.5,26.5,1.0,86.0,85.0,14.01,13.72,3.0,2.98,50.04,49.75
2025-11-30T16:38:03.761058,gpu,gemma2:2b,"Large prompt (len=118), using GPU | Queue depth: 9",51.586,118,795,15.41,0.0,28.2,28.2,1.0,83.0,82.0,14.01,13.38,3.0,2.98,50.04,49.75
2025-11-30T16:38:03.770316,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 13",59.768,12,458,7.66,0.0,28.4,28.4,1.0,86.0,85.0,14.01,12.67,3.0,2.98,50.04,49.75
2025-11-30T16:38:03.760226,gpu,gemma2:2b,"Medium prompt, GPU available (util=1.0%) | Queue depth: 8",70.626,39,617,8.74,0.0,27.0,27.0,1.0,85.0,84.0,14.01,12.67,3.0,2.98,50.04,49.75
2025-11-30T16:38:03.761972,gpu,gemma2:2b,"Large prompt (len=107), using GPU | Queue depth: 10",87.469,107,867,9.91,0.0,37.3,37.3,1.0,85.0,84.0,14.01,12.77,3.0,2.98,50.04,49.75
2025-11-30T16:38:03.757435,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 5",94.904,11,386,4.07,0.0,31.7,31.7,1.0,86.0,85.0,14.01,12.73,3.0,2.98,50.04,49.75
2025-11-30T16:38:03.763312,gpu,gemma2:2b,"Small prompt, GPU available (util=1.0%) | Queue depth: 11",103.386,10,467,4.52,0.0,31.8,31.8,1.0,83.0,82.0,14.01,12.78,3.0,2.98,50.04,49.75
2025-11-30T16:38:03.759919,gpu,gemma2:2b,"Medium prompt, GPU available (util=1.0%) | Queue depth: 7",116.657,31,716,6.14,0.0,28.5,28.5,1.0,85.0,84.0,14.01,12.77,3.0,2.98,50.04,49.75
2025-11-30T16:40:03.442332,cpu,phi3,"Tiny prompt (len=2), CPU optimal | Queue depth: 5",5.567,2,81,14.55,0.0,42.9,42.9,2.0,93.0,91.0,12.78,12.23,2.98,4.42,49.75,73.68
2025-11-30T16:40:03.440129,cpu,phi3,"Tiny prompt (len=3), CPU optimal | Queue depth: 1",10.48,3,242,23.09,23.6,33.6,10.0,2.0,95.0,93.0,12.78,12.22,2.98,4.42,49.75,73.68
2025-11-30T16:40:03.441078,cpu,phi3,"Tiny prompt (len=3), CPU optimal | Queue depth: 2",12.498,3,101,8.08,0.0,43.8,43.8,2.0,93.0,91.0,12.78,12.19,2.98,4.42,49.75,73.68
2025-11-30T16:40:03.441791,cpu,phi3,"Tiny prompt (len=3), CPU optimal | Queue depth: 4",14.526,3,99,6.82,0.0,37.5,37.5,2.0,94.0,92.0,12.78,12.19,2.98,4.42,49.75,73.72
2025-11-30T16:40:03.449955,cpu,phi3,"Tiny prompt (len=2), CPU optimal | Queue depth: 13",17.185,2,137,7.97,0.0,33.1,33.1,2.0,93.0,91.0,12.78,12.21,2.98,4.42,49.75,73.72
2025-11-30T16:40:03.441542,cpu,phi3,"Tiny prompt (len=3), CPU optimal | Queue depth: 3",23.944,3,323,13.49,0.0,54.9,54.9,2.0,93.0,91.0,12.78,12.55,2.98,4.42,49.75,73.72
2025-11-30T16:40:03.448656,cpu,phi3,"Tiny prompt (len=3), CPU optimal | Queue depth: 11",29.815,3,289,9.69,0.0,45.4,45.4,2.0,89.0,87.0,12.78,12.39,2.98,4.42,49.75,73.72
2025-11-30T16:40:03.442879,cpu,phi3,"Tiny prompt (len=2), CPU optimal | Queue depth: 6",33.613,2,191,5.68,0.0,35.6,35.6,2.0,93.0,91.0,12.78,12.37,2.98,4.42,49.75,73.72
2025-11-30T16:40:03.446980,cpu,phi3,"Tiny prompt (len=3), CPU optimal | Queue depth: 8",35.974,3,119,3.31,0.0,37.1,37.1,2.0,93.0,91.0,12.78,12.34,2.98,4.42,49.75,73.72
2025-11-30T16:40:03.447930,cpu,phi3,"Tiny prompt (len=3), CPU optimal | Queue depth: 9",37.932,3,102,2.69,0.0,30.3,30.3,2.0,94.0,92.0,12.78,12.33,2.98,4.42,49.75,73.72
2025-11-30T16:40:03.453993,cpu,phi3,"Tiny prompt (len=3), CPU optimal | Queue depth: 16",42.299,3,216,5.11,100.0,34.3,-65.7,2.0,95.0,93.0,12.78,12.28,2.98,4.42,49.75,73.72
2025-11-30T16:40:03.450376,cpu,phi3,"Tiny prompt (len=2), CPU optimal | Queue depth: 14",43.466,2,67,1.54,0.0,42.7,42.7,2.0,93.0,91.0,12.78,12.29,2.98,4.42,49.75,73.72
2025-11-30T16:40:03.457872,cpu,phi3,"Tiny prompt (len=3), CPU optimal | Queue depth: 17",40.086,3,117,2.92,0.0,40.5,40.5,2.0,95.0,93.0,12.78,12.33,2.98,4.42,49.75,73.72
2025-11-30T16:40:03.462500,cpu,phi3,"Tiny prompt (len=2), CPU optimal | Queue depth: 19",34.034,2,51,1.5,0.0,41.2,41.2,2.0,94.0,92.0,12.78,12.27,2.98,4.42,49.75,73.72
2025-11-30T16:40:03.463252,cpu,phi3,"Tiny prompt (len=2), CPU optimal | Queue depth: 20",34.16,2,99,2.9,0.0,37.1,37.1,2.0,94.0,92.0,12.78,12.29,2.98,4.42,49.75,73.72
2025-11-30T16:40:03.449291,gpu,gemma2:2b,"Small prompt, GPU available (util=2.0%) | Queue depth: 12",59.116,8,425,7.19,0.0,28.1,28.1,2.0,86.0,84.0,12.78,12.55,2.98,2.98,49.75,49.71
2025-11-30T16:40:03.448328,gpu,gemma2:2b,"Small prompt, GPU available (util=2.0%) | Queue depth: 10",68.911,12,539,7.82,0.0,27.7,27.7,2.0,86.0,84.0,12.78,12.56,2.98,2.98,49.75,49.75
2025-11-30T16:40:03.450721,gpu,gemma2:2b,"Small prompt, GPU available (util=2.0%) | Queue depth: 15",74.031,9,284,3.84,0.0,29.7,29.7,2.0,86.0,84.0,12.78,12.58,2.98,2.98,49.75,49.75
2025-11-30T16:40:03.446074,gpu,gemma2:2b,"Small prompt, GPU available (util=2.0%) | Queue depth: 7",83.454,10,536,6.42,0.0,30.1,30.1,2.0,84.0,82.0,12.78,12.63,2.98,2.98,49.75,49.75
2025-11-30T16:40:03.460841,gpu,gemma2:2b,"Small prompt, GPU available (util=2.0%) | Queue depth: 18",82.028,11,470,5.73,0.0,35.2,35.2,2.0,86.0,84.0,12.78,12.69,2.98,2.98,49.75,49.75
